film,rating,date,liked,log_date,country,studio,primary_language,genres,director,actors
Alien: Romulus,8,2024,true,2024-08-16,USA,20th Century Studios,English,"['Science Fiction', 'Horror', 'Thriller']",Fede Álvarez,"['Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu', 'Robert Bobroczkyi', 'Trevor Newlin', 'Annemarie Griggs', 'Ian Holm']"
Two English Girls,4,1971,false,2024-08-08,France,Cinétel,French,"['Drama', 'Romance']",François Truffaut,"['Jean-Pierre Léaud', 'Kika Markham', 'Stacey Tendeter', 'Philippe Léotard', 'Georges Delerue', 'Sylvia Marriott', 'Marie Mansart', 'Irène Tunc', 'Marcel Berbert', 'Jeanne Lobre', 'Annie Miller', 'Marie Irakane', 'Guillaume Schiffman', 'Mark Peterson', 'David Markham', 'Sophie Baker', 'René Gaillard', 'Anne Levaslot', 'Christine Pellé', 'Mathieu Schiffman', 'Jeanne Sophie', 'Eva Truffaut', 'François Truffaut', 'Laura Truffaut']"
The Woman Next Door,6,1981,false,2024-08-08,France,Les Films du Carrosse,French,"['Drama', 'Romance']",François Truffaut,"['Gérard Depardieu', 'Fanny Ardant', 'Henri Garcin', 'Michèle Baumgartner', 'Roger Van Hool', 'Véronique Silver', 'Philippe Morier-Genoud', 'Nicole Vauthier', 'Muriel Combe', 'Olivier Becquaert', 'Catherine Crassac', 'Jacques Preisach', 'Roland Thénot']"
Confidentially Yours,8,1983,true,2024-08-07,France,Les Films du Carrosse,French,"['Comedy', 'Crime', 'Mystery']",François Truffaut,"['Fanny Ardant', 'Jean-Louis Trintignant', 'Philippe Laudenbach', 'Jean-Pierre Kalfon', 'Philippe Morier-Genoud', 'Caroline Silhol', 'Xavier Saint-Macary', 'Jean-Louis Richard', 'Anik Belaubre', 'Pascale Pellegrin', 'Nicole Félix', 'Yann Dedet', 'Castel Casti', 'Georges Koulouris', 'Roland Thénot', 'Michel Aubossu', 'Pauline Aubret', 'Isabel Benet', 'Dany Castaing', 'Alain Gambin', 'Pierre Gare', 'Michel Grisoni', 'Marie-Noëlle Guilliot', 'Jean-Pierre Kohut-Svelko', 'Pierrette Monticelli', 'Adrien Silvio', 'Paul Steiger', 'Christine Verbèke', 'Jacques Vidal', 'Martine Barraqué', 'Josiane Couëdel', 'Michel Grisolia', 'Hilton McConnico', 'Thi-Loan Nguyen', 'Eva Truffaut']"
Senso,6,1954,false,2024-08-07,Italy,Lux Film,Italian,"['Romance', 'Drama', 'War']",Luchino Visconti,"['Farley Granger', 'Alida Valli', 'Massimo Girotti', 'Heinz Moog', 'Rina Morelli', 'Christian Marquand', 'Sergio Fantoni', 'Tino Bianchi', 'Ernst Nadherny', 'Tonio Selwart', 'Marcella Mariani', 'Franco Arcalli', 'Aldo Bajocchi', 'Ottone Candiani', 'Nando Cicero', 'Claudio Coppetti', 'Cristoforo De Hartungen', 'Tony Di Mitri', 'Eugenio Incisivo', 'Marianne Leibl', 'Ugo Mari', 'Jean-Pierre Mocky', 'Spartaco Nale', 'Ivy Nicholson', 'Mimmo Palmara', 'Winni Riva', 'Carlo Sabatini', 'Goliarda Sapienza', 'Renato Terra', 'Gustl Untersulzner', 'Mário Valente']"
Old,5,2021,false,2024-08-03,China,Universal Pictures,English,"['Thriller', 'Mystery', 'Horror']",M. Night Shyamalan,"['Vicky Krieps', 'Gael García Bernal', 'Rufus Sewell', 'Alex Wolff', 'Thomasin McKenzie', 'Emun Elliott', 'Embeth Davidtz', 'Nolan River', 'Alexa Swinton', 'Nikki Amuka-Bird', 'Ken Leung', 'Aaron Pierre', 'Abbey Lee', 'Eliza Scanlen', 'Kailen Jude', 'Gustaf Hammarsten', 'Francesca Eastwood', 'Kathleen Chalfant', 'Luca Faustino Rodriguez', 'Kylie Begley', 'Mikaya Fisher', 'M. Night Shyamalan', 'Matthew Shear', 'Daniel Ison', 'Jeffrey Holsman', 'Deidra Ciolko', 'Margaux Da Silva', 'John Twohy', 'Alejandra Useche', 'Louise Walter', 'Arturo A. Baez']"
Trap,7,2024,true,2024-08-02,USA,Blinding Edge Pictures,English,"['Crime', 'Thriller']",M. Night Shyamalan,"['Josh Hartnett', 'Ariel Donoghue', 'Saleka', 'Alison Pill', 'Hayley Mills', 'Jonathan Langdon', 'Mark Bacolcol', 'Marnie McPhail', 'Kid Cudi', 'Russ', 'Marcia Bennett', 'Vanessa Smythe', 'M. Night Shyamalan', 'Lochlan Ray Miller', 'Steve Boyle', ""David D'Lancy Wilson"", 'James Gomez', 'Nadine Hyatt', 'Michael Brown', 'Hailey Summer', 'Olivia Barrett', 'Allison Ference', 'Harley Ruznisky', 'Joseph Daly', 'Luke Charles', 'Mateo Arias', 'Milan Deng', 'Ajanae Stephenson', 'Khiyla Aynne', 'Abbas Wahab', 'Bobby Manning', ""Maya Lee O'Connor"", 'Lauren Brady', 'Valentina Theresa', 'Erica Wilson', 'Leeyarah Belle Barcia', 'Sare Thorpe', 'Mia Yaguchi-Chow', 'Dominique Brownes', 'Lara Zaluski', 'Timilehin Olusoga', 'Elizabeth Victoria Wong', 'Josh Stone', 'Piper Hook', 'AJ Nadeau', 'Michael Cox', 'Jarrod W. Clegg', 'Jennifer Ashleigh Lloyd', 'Iliya Kovler', 'Joshua Peace']"
Avengers: Age of Ultron,7,2015,false,2024-08-02,USA,Marvel Studios,English,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Linda Cardellini', 'Stellan Skarsgård', 'Claudia Kim', 'Thomas Kretschmann', 'Andy Serkis', 'Julie Delpy', 'Stan Lee', 'Henry Goodman', 'Chris Luca', 'Brian Schaeffer', 'Dominique Provost-Chalkley', 'Isaac Andrews', 'Gareth Kieran Jones', 'Chan Woo Lim', 'Minhee Yeo', 'Bentley Kalu', 'Julian Bleach', 'Christopher Beasley', 'Vuyo Dabula', 'Nondumiso Tembe', 'Kabelo Thai', 'Lele Ledwaba', 'Mandla Gaduka', 'Harriet Manamela', 'Beulah Hashe', 'Musca Kumalo', 'Mathapelo September', 'Antony Acheampong', 'Chioma Anyanwu', 'Ben Sakamoto', 'Imogen Poynton', 'Isabella Poynton', 'Ingvild Deila', 'Sunny Yeo', 'Namju Go', 'Mina Kweon', 'Earl T. Kim', 'Arthur Lee', 'Verity Hewlett', 'Michael Matovski', 'Alma Noce', 'Riccardo Richetta', 'Constanza Ruff', 'Monty Mclaren-Clark', 'Julia Krynke', 'Tony Christian', 'Ian Kay', 'Barry Aird', 'Aaron Himelstein', 'Kerry Condon', 'Jaiden Stafford', 'Josh Brolin', 'Robert J. Fraser', 'Lou Ferrigno', 'Zakk Pierce']"
Iron Man 3,7,2013,false,2024-07-31,USA,Marvel Studios,English,"['Action', 'Adventure', 'Science Fiction']",Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany', 'William Sadler', 'Dale Dickey', 'Ty Simpkins', 'Miguel Ferrer', 'Wang Xueqi', 'Shaun Toub', 'Matthew Sterling Nye', 'Pat Kiernan', 'Josh Elliott', 'Megan Henderson', 'Thomas Roberts', 'Bill Maher', 'Joan Rivers', 'George Kotsiopoulos', ""Bronte D'Esposito"", 'Noah Visconti', 'Ashley Hamilton', 'Brooke Jaye Taylor', 'Kim Holderness', 'Glenn Foster', 'Anthony Reynolds', 'Kendrick Cross', 'Tom Clark', 'Brian Schaeffer', 'John Eddins', 'Spencer Garrett', 'Rockey Dickey Jr.', 'Drew Michael Hershner', 'Sarah Burkhardt', 'Jan Broberg', 'Andrew Lauer', 'Nate Bynum', 'Andrew Lander', 'Tom Virtue', 'Roy McCrerey', 'Serdar Kalsin', 'Demetrois Hodges', 'Bobby Tisdale', 'Yvonne Zima', 'Stan Lee', 'Adam Pally', 'James Rackley', 'Cullen Moss', 'Jacob Dewitt', 'Rebecca Mader', 'Kevin Arnold', 'Juan C. Bofill', 'David Anthony Buglione', 'Adam Lytle', ""Paul Andrew O'Connor"", 'Phil Ortiz', 'Gwendalyn Barker', 'Steve Wilder', 'Luciana Faulhaber', 'Kary Musa', 'Mike Massa', 'Mark Kubr', 'Si-Fu Eric Oram', 'Naomi Parshin', 'Aurelia Riley', 'Johanna Yunda', 'Wesley Thompson', 'Jenna Ortega', 'T. C. Anyachonkeya', 'Chad Kurtz', 'Cal Johnson', 'Corey Hawkins', 'Linden Ashby', 'Sarah Farooqui', 'Sala Baker', 'Kial Butler', 'Nick Brandon', 'Dan Brown', 'Fernando Chien', 'Ilram Choi', 'Brycen Counts', 'Kiante Elam', 'Dane Farwell', 'Mark Fichera', 'Colin Follenweider', 'Aja Frary', 'Mark Ginther', 'Adrian Gonzalez', 'Dennis Keiffer', 'Samuel Le', 'Tara Macken', 'William Morts', 'Jade Quon', 'J. C. Robaina', 'Markos Rounthwaite', 'Philip J. Silvera', 'Brian Simpson', 'Mark Aaron Wagner', 'Chris Gethard', 'Nick W. Nicholson', 'Bridger Zadina', 'Mark Ruffalo', 'Johnny Otto', 'Toochukwu T.C. Anyachonkeya']"
The Avengers,7,2012,false,2024-07-30,USA,Marvel Studios,English,"['Science Fiction', 'Adventure', 'Action']",Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko', 'Jerzy Skolimowski', 'Kirill Nikiforov', 'Jeff Wolfe', ""M'laah Kaur Singh"", 'Rashmi Rustagi', 'Powers Boothe', 'Jenny Agutter', 'Arthur Darbinyan', 'Donald Li', 'Warren Kole', 'Alicia Sixtos', 'Jesse Garcia', 'Maximiliano Hernández', 'Dieter Riesle', 'Kenneth Tigar', 'Walter Perez', 'Harry Dean Stanton', 'Josh Cowdery', 'Ashley Johnson', 'Katsumi Komatsu', 'Yumiko Komatsu', 'Momoko Komatsu', 'Robert Clohessy', 'Enver Gjokaj', 'Fernanda Toker', 'Andrea Vecchio', 'Robin Swoboda', 'Brent McGee', 'Jamie McShane', 'Michael Zhang', 'William-Christopher Stephens', 'Kelley Robins Hicks', 'Romy Rosemont', 'James Eckhouse', 'Stan Lee', 'Thomas Roberts', 'Pat Kiernan', 'Damion Poitier', 'Lou Ferrigno', 'Jillian Morgese', 'Catherine Anderson', 'Ricardo Andres', 'Logan Bennett', 'Mayank Bhatter', 'Sharita Bone', 'Jason Botsford', 'Mary Kate Campbell', 'Gene N. Chavez', 'Layla Cushman', 'Robert Dean', 'Rick Dremann', 'Rod Fielder', 'Eric Frank', 'Israel Hall', 'Carmen Dee Harris', 'Alexander Christopher Jones', 'Mike Karban', 'Demoine Kinney', 'Andrew Knode', 'Annette Lawless', 'Kimberly J. Mahoney', 'Todd Manes', 'Jorge Mardel', 'Michael McMillan', 'Sean Meehan', 'Holly Neelie', 'Caleb Daniel Noal', 'Jeremy Orr', 'Nate Paige', 'Martin Palmer', 'Maria Perossa', 'Caleb Pieplow', 'Alexander Daniel Pimentel', 'Frank Powers', 'Jaime Powers', 'Brent Reichert', 'Kelly Ruble', 'Gina Sarno', 'Robert B. Schneider IV', 'Jeff Seich', 'Christina Shaffer', 'Douglas Slygh', 'Colin Strause', 'Robert P. Thitoff', 'George Thomas', 'Shane Thompson', 'Jerry Lee Tucker', 'Tai Urban', 'Chris Vaina', 'Sandra Weston', 'Seth Zielicke', 'Alex DeCourville', 'Andrea-Nichole Olivas', 'Tina Grimm', 'Evan Kole', 'Hank Amos', 'Joti Nagra']"
